GEOID,City,SR_point_count,311_SRI_score,SNI_score,ES_score
48453000101,austin,1743,53.12,80.96721756,-27.84721756
48453000102,austin,1255,44.87,67.92197237,-23.05197237
48453000203,austin,248,19.22,47.50745056,-28.28745056
48453000204,austin,1622,51.19,73.2321864,-22.0421864
48453000205,austin,1521,49.53,70.92928746,-21.39928746
48453000206,austin,1397,47.42,56.06881604,-8.648816039
48453000302,austin,2586,64.98,85.34272555,-20.36272555
48453000304,austin,1587,50.62,82.17285289,-31.55285289
48453000305,austin,1573,50.39,38.25521539,12.13478461
48453000307,austin,978,39.46,72.053644,-32.593644
48453000308,austin,1124,42.4,44.68978597,-2.289785966
48453000309,austin,1226,44.34,72.90707125,-28.56707125
48453000401,austin,1978,56.67,84.59767001,-27.92767001
48453000402,austin,1617,51.11,87.76754267,-36.65754267
48453000500,austin,2508,63.97,31.50907613,32.46092387
48453000601,austin,498,27.78,48.41506367,-20.63506367
48453000605,austin,2437,63.04,45.40774858,17.63225142
48453000606,austin,2164,59.33,61.96152804,-2.631528041
48453000607,austin,1596,50.77,40.89677594,9.873224059
48453000608,austin,972,39.34,61.47385532,-22.13385532
48453000700,austin,764,34.73,87.57789217,-52.84789217
48453000801,austin,1106,42.05,53.77946356,-11.72946356
48453000802,austin,1421,47.83,47.08751016,0.74248984
48453000803,austin,2398,62.53,73.86887022,-11.33887022
48453000804,austin,1425,47.9,61.64995936,-13.74995936
48453000901,austin,1238,44.56,76.71362774,-32.15362774
48453000902,austin,6040,100,94.78461122,5.215388784
48453001000,austin,2977,69.82,78.43402872,-8.614028719
48453001101,austin,2719,66.67,90.93741533,-24.26741533
48453001102,austin,3406,74.77,85.85749119,-11.08749119
48453001103,austin,2899,68.88,94.28339203,-25.40339203
48453001200,austin,1972,56.58,90.44974262,-33.86974262
48453001304,austin,2202,59.86,77.47222975,-17.61222975
48453001307,austin,1277,45.28,66.59441886,-21.31441886
48453001308,austin,1299,45.68,69.96748849,-24.28748849
48453001309,austin,1093,41.79,64.91465727,-23.12465727
48453001310,austin,1341,46.43,86.0471417,-39.6171417
48453001311,austin,559,29.52,70.96992685,-41.44992685
