tract_fips20,Impervious_Prcnt
01001020100,0.064242078
01001020200,0.200098864
01001020300,0.184425168
01001020400,0.174813947
01001020501,0.248998895
01001020502,0.39958382
01001020503,0.296443979
01001020600,0.165348489
01001020700,0.087552111
01001020801,0.018135082
01001020803,0.012449233
01001020804,0.070494473
01001020805,0.031066805
01001020901,0.016400505
01001020902,0.008825566
01001021000,0.007250703
01001021100,0.005692167
01003010100,0.00400451
01003010200,0.009361904
01003010300,0.012182419
01003010400,0.008815739
01003010500,0.126607634
01003010600,0.089193899
01003010704,0.162600362
01003010706,0.103031645
01003010707,0.015002183
01003010708,0.065887267
01003010709,0.06815911
01003010710,0.066585693
01003010711,0.208295536
01003010800,0.119578882
01003010903,0.035506721
01003010904,0.016480572
01003010906,0.028568439
01003010907,0.02241572
01003010908,0.072132563
01003011000,0.021492334
01003011102,0.039796348
01003011103,0.06622604
01003011104,0.125014569
01003011201,0.12014984
01003011202,0.136958554
01003011300,0.030951836
01003011409,0.027118374
01003011410,0.020265096
01003011411,0.055769024
01003011412,0.093727678
01003011413,0.161681225
01003011414,0.144049084
01003011415,0.174945516
01003011416,0.063240943
01003011417,0.145225609
01003011418,0.127543311
01003011419,0.057123464
01003011501,0.092432056
01003011503,0.166500527
01003011504,0.123267086
01003011601,0.016583705
01003011603,0.01649557
01003011604,0.036909235
01003990000,0
01005950100,0.007743567
01005950200,0.006561971
01005950300,0.007618404
01005950400,0.009186731
01005950500,0.010458019
01005950600,0.01231747
01005950700,0.008814496
01005950800,0.054919289
01005950900,0.101896367
01007010001,0.007447218
01007010005,0.043432626
01007010006,0.008772823
01007010007,0.007305443
01007010008,0.011420106
01007010009,0.020246131
01007010010,0.036967473
01007010011,0.005715412
01009050103,0.009563478
01009050104,0.016619863
01009050105,0.025786559
01009050106,0.077434128
01009050107,0.016231385
01009050200,0.018350264
01009050301,0.020228965
01009050302,0.015481674
01009050400,0.013881912
01009050501,0.014579423
01009050502,0.011389475
01009050601,0.017509605
01009050603,0.027479489
01009050604,0.018478235
01009050701,0.018778966
01009050702,0.020741966
01011952100,0.005292652
01011952201,0.009953937
01011952202,0.009678922
01011952500,0.00464482
01013952700,0.01837168
01013952800,0.233357998
01013952900,0.028478276
01013953000,0.003985066
01013953100,0.024978635
01013953200,0.006657839
01013953300,0.008211563
01013953400,0.011374439
01013953500,0.006256868
01015000200,0.164243072
01015000300,0.416953409
01015000400,0.150397335
01015000500,0.377596275
01015000600,0.177747827
01015000700,0.100520884
01015000800,0.561221008
01015000900,0.096637535
01015001000,0.209146772
01015001101,0.063144358
01015001102,0.429020972
01015001103,0.169163355
01015001201,0.217051019
01015001202,0.081034494
01015001300,0.193135616
01015001400,0.07167728
01015001501,0.074438211
01015001502,0.033890924
01015001600,0.113824672
01015001700,0.114352109
01015001801,0.035008081
01015001802,0.068988485
01015002001,0.010306727
01015002002,0.017205965
01015002101,0.100652783
01015002102,0.048894358
01015002104,0.126665102
01015002105,0.064376772
01015002200,0.017793211
01015002300,0.029217915
01015002400,0.014092843
01015002502,0.014734695
01015002503,0.034490599
01015002504,0.0214481
01015002600,0.014395432
01015981901,0.086555717
01015981902,0.010782472
01015981903,0.003078926
01017953800,0.006759319
01017953900,0.015055074
01017954001,0.005496074
01017954002,0.011787917
01017954200,0.020917156
01017954300,0.031470963
01017954600,0.169508655
01017954700,0.047087375
01017954800,0.197881915
01019955701,0.016832608
01019955702,0.009422038
01019955801,0.018939962
01019955802,0.016614177
01019955900,0.013812645
01019956000,0.054866574
01019956101,0.008417012
01019956102,0.012918401
01021060101,0.056370986
01021060103,0.033476916
01021060104,0.142413443
01021060200,0.021448393
01021060300,0.012761618
01021060401,0.030175775
01021060403,0.024351617
01021060404,0.014850272
01021060500,0.008298139
01021060600,0.008632252
01021060701,0.013908064
01021060702,0.013650109
01023956700,0.008215815
01023956800,0.006025302
01023956900,0.006135555
01023957000,0.004988297
01025957500,0.009628552
01025957601,0.004448118
01025957603,0.025235495
01025957604,0.018223812
01025957700,0.004419803
01025957800,0.005877341
01025957901,0.007094355
01025957902,0.027719716
01025958003,0.003622672
01027958900,0.009235231
01027959000,0.013224957
01027959100,0.009104578
01027959200,0.004877452
01029959500,0.004742847
01029959600,0.012940036
01029959700,0.009063001
01029959800,0.013250667
01031010100,0.007235059
01031010200,0.010154244
01031010300,0.011809487
01031010400,0.010076213
01031010500,0.018440643
01031010600,0.012049426
01031010700,0.00982304
01031010800,0.010683825
01031010900,0.077821149
01031011000,0.058503578
01031011100,0.290958723
01031011203,0.176659289
01031011204,0.052238436
01031011205,0.193154652
01031011206,0.149942094
01031011300,0.132193932
01033020100,0.28256433
01033020200,0.267133466
01033020300,0.344174319
01033020400,0.070437601
01033020500,0.102038755
01033020600,0.19766169
01033020703,0.275528292
01033020704,0.364047817
01033020705,0.109383837
01033020706,0.07722222
01033020801,0.017284105
01033020802,0.013909034
01033020901,0.019032208
01033020902,0.016843027
01033021000,0.008384685
01035960200,0.004663722
01035960300,0.005568829
01035960400,0.00779104
01035960500,0.021592025
01035960600,0.006395684
01037961000,0.010732308
01037961100,0.004650621
01037961200,0.005741525
01039961600,0.009312477
01039961700,0.008328067
01039961800,0.038461357
01039961900,0.031713958
01039962000,0.05922092
01039962100,0.077977067
01039962300,0.011575484
01039962400,0.018804939
01039962500,0.047584151
01039962600,0.060973415
01039962700,0.101350381
01039962800,0.009416296
01039962900,0.005259962
01039963000,0.010880689
01041963400,0.006956453
01041963500,0.006989779
01041963600,0.007950606
01041963700,0.010616218
01041963800,0.006512591
01041963900,0.007360393
01043964100,0.019801326
01043964201,0.032428044
01043964202,0.021781927
01043964300,0.026900146
01043964400,0.028883706
01043964500,0.012001089
01043964600,0.014680903
01043964700,0.054582687
01043964800,0.210861055
01043964901,0.119190911
01043964902,0.09515791
01043965001,0.173097354
01043965002,0.25670652
01043965100,0.03496842
01043965200,0.01920742
01043965300,0.018439959
01043965401,0.033846869
01043965402,0.023278344
01043965501,0.015389965
01043965502,0.027713579
01043965600,0.016822823
01043965700,0.013394732
01045020000,0.037894675
01045020100,0.010672085
01045020200,0.009361558
01045020300,0.016983112
01045020400,0.026023565
01045020500,0.10013154
01045020700,0.166162685
01045020801,0.043469633
01045020802,0.045052712
01045021101,0.043756403
01045021102,0.075496551
01045021200,0.021813611
01045021300,0.017097418
01045021400,0.035421937
01047956101,0.018914576
01047956102,0.01092679
01047956201,0.010900035
01047956202,0.005456692
01047956300,0.064535023
01047956400,0.313086879
01047956500,0.285328895
01047956600,0.391179387
01047956701,0.089340801
01047956702,0.109223665
01047956800,0.152252252
01047956900,0.005683314
01047957000,0.003964292
01047957100,0.006480131
01047957200,0.023225161
01047957301,0.15288589
01047957302,0.009142921
01049960101,0.013252963
01049960102,0.016421596
01049960200,0.018698813
01049960301,0.021924565
01049960302,0.024547028
01049960303,0.038941266
01049960401,0.018352426
01049960402,0.031805819
01049960500,0.016937702
01049960601,0.014438346
01049960602,0.019024148
01049960701,0.025295135
01049960702,0.022743124
01049960703,0.023097466
01049960800,0.014160992
01049960900,0.02615344
01049961000,0.014695834
01049961100,0.092685785
01049961200,0.052701557
01049961300,0.025881894
01049961400,0.013669613
01051030101,0.014248496
01051030102,0.022839766
01051030103,0.016481261
01051030200,0.008976992
01051030300,0.018760508
01051030401,0.008886441
01051030402,0.022189662
01051030500,0.015251102
01051030600,0.023198292
01051030701,0.029557588
01051030702,0.018961442
01051030801,0.242842666
01051030802,0.034379376
01051030901,0.045996417
01051030902,0.047323259
01051031001,0.100271519
01051031002,0.117506313
01051031100,0.125651629
01051031200,0.023480476
01051031300,0.099058956
01053969801,0.006009011
01053969802,0.00719173
01053969900,0.013224618
01053970100,0.023704885
01053970200,0.152318614
01053970300,0.012139181
01053970400,0.009114515
01053970500,0.023525981
01053970600,0.023829072
01053970700,0.054426381
