tract_geoid,total_jobs,source_file
06073000100,346,06073_SD_SanDiego
06073000201,1199,06073_SD_SanDiego
06073000202,849,06073_SD_SanDiego
06073000301,346,06073_SD_SanDiego
06073000302,5050,06073_SD_SanDiego
06073000400,19188,06073_SD_SanDiego
06073000500,371,06073_SD_SanDiego
06073000600,4075,06073_SD_SanDiego
06073000700,703,06073_SD_SanDiego
06073000800,423,06073_SD_SanDiego
06073000901,487,06073_SD_SanDiego
06073000902,449,06073_SD_SanDiego
06073001000,1059,06073_SD_SanDiego
06073001100,1155,06073_SD_SanDiego
06073001201,452,06073_SD_SanDiego
06073001202,448,06073_SD_SanDiego
06073001301,1426,06073_SD_SanDiego
06073001302,444,06073_SD_SanDiego
06073001400,1552,06073_SD_SanDiego
06073001500,661,06073_SD_SanDiego
06073001600,716,06073_SD_SanDiego
06073001700,340,06073_SD_SanDiego
06073001801,388,06073_SD_SanDiego
06073001802,835,06073_SD_SanDiego
06073001900,487,06073_SD_SanDiego
06073002001,929,06073_SD_SanDiego
06073002002,104,06073_SD_SanDiego
06073002100,961,06073_SD_SanDiego
06073002201,485,06073_SD_SanDiego
06073002202,1630,06073_SD_SanDiego
06073002301,745,06073_SD_SanDiego
06073002302,889,06073_SD_SanDiego
06073002401,282,06073_SD_SanDiego
06073002402,518,06073_SD_SanDiego
06073002501,177,06073_SD_SanDiego
06073002502,567,06073_SD_SanDiego
06073002601,845,06073_SD_SanDiego
06073002602,352,06073_SD_SanDiego
06073002702,1463,06073_SD_SanDiego
06073002703,1705,06073_SD_SanDiego
06073002705,357,06073_SD_SanDiego
06073002707,370,06073_SD_SanDiego
06073002708,1141,06073_SD_SanDiego
06073002709,258,06073_SD_SanDiego
06073002710,168,06073_SD_SanDiego
06073002711,169,06073_SD_SanDiego
06073002712,1547,06073_SD_SanDiego
06073002801,6962,06073_SD_SanDiego
06073002803,492,06073_SD_SanDiego
06073002804,558,06073_SD_SanDiego
06073002902,1065,06073_SD_SanDiego
06073002903,527,06073_SD_SanDiego
06073002904,2250,06073_SD_SanDiego
06073002905,1292,06073_SD_SanDiego
06073003001,544,06073_SD_SanDiego
06073003003,1223,06073_SD_SanDiego
06073003004,189,06073_SD_SanDiego
06073003101,115,06073_SD_SanDiego
06073003103,279,06073_SD_SanDiego
06073003105,273,06073_SD_SanDiego
06073003107,402,06073_SD_SanDiego
06073003108,322,06073_SD_SanDiego
06073003109,122,06073_SD_SanDiego
06073003111,305,06073_SD_SanDiego
06073003112,659,06073_SD_SanDiego
06073003113,179,06073_SD_SanDiego
06073003114,357,06073_SD_SanDiego
06073003115,257,06073_SD_SanDiego
06073003201,181,06073_SD_SanDiego
06073003202,245,06073_SD_SanDiego
06073003204,2510,06073_SD_SanDiego
06073003207,993,06073_SD_SanDiego
06073003208,371,06073_SD_SanDiego
06073003209,643,06073_SD_SanDiego
06073003211,88,06073_SD_SanDiego
06073003212,294,06073_SD_SanDiego
06073003213,128,06073_SD_SanDiego
06073003214,180,06073_SD_SanDiego
06073003301,1287,06073_SD_SanDiego
06073003303,106,06073_SD_SanDiego
06073003304,810,06073_SD_SanDiego
06073003305,803,06073_SD_SanDiego
06073003401,1659,06073_SD_SanDiego
06073003403,2216,06073_SD_SanDiego
06073003404,852,06073_SD_SanDiego
06073003501,268,06073_SD_SanDiego
06073003502,429,06073_SD_SanDiego
06073003601,1091,06073_SD_SanDiego
06073003602,480,06073_SD_SanDiego
06073003603,189,06073_SD_SanDiego
06073003800,5055,06073_SD_SanDiego
06073003901,334,06073_SD_SanDiego
06073003902,1173,06073_SD_SanDiego
06073004000,667,06073_SD_SanDiego
06073004101,2329,06073_SD_SanDiego
06073004102,369,06073_SD_SanDiego
06073004200,856,06073_SD_SanDiego
06073004300,272,06073_SD_SanDiego
06073004400,1020,06073_SD_SanDiego
06073004501,409,06073_SD_SanDiego
06073004600,250,06073_SD_SanDiego
06073004700,449,06073_SD_SanDiego
06073004800,364,06073_SD_SanDiego
06073004900,379,06073_SD_SanDiego
06073005000,4674,06073_SD_SanDiego
06073005101,1062,06073_SD_SanDiego
06073005102,3827,06073_SD_SanDiego
06073005103,3028,06073_SD_SanDiego
06073005201,1832,06073_SD_SanDiego
06073005202,1488,06073_SD_SanDiego
06073005301,15684,06073_SD_SanDiego
06073005302,20124,06073_SD_SanDiego
06073005401,4846,06073_SD_SanDiego
06073005402,9384,06073_SD_SanDiego
06073005403,4665,06073_SD_SanDiego
06073005500,10,06073_SD_SanDiego
06073005601,1694,06073_SD_SanDiego
06073005602,4144,06073_SD_SanDiego
06073005700,2982,06073_SD_SanDiego
06073005801,3421,06073_SD_SanDiego
06073005802,4056,06073_SD_SanDiego
06073005900,1523,06073_SD_SanDiego
06073006000,2814,06073_SD_SanDiego
06073006100,1403,06073_SD_SanDiego
06073006200,5923,06073_SD_SanDiego
06073006300,243,06073_SD_SanDiego
06073006500,16553,06073_SD_SanDiego
06073006600,865,06073_SD_SanDiego
06073006801,473,06073_SD_SanDiego
06073006802,2195,06073_SD_SanDiego
06073006900,542,06073_SD_SanDiego
06073007002,208,06073_SD_SanDiego
06073007100,2327,06073_SD_SanDiego
06073007200,1915,06073_SD_SanDiego
06073007302,195,06073_SD_SanDiego
06073007303,95,06073_SD_SanDiego
06073007304,326,06073_SD_SanDiego
06073007401,247,06073_SD_SanDiego
06073007402,437,06073_SD_SanDiego
06073007501,732,06073_SD_SanDiego
06073007502,1723,06073_SD_SanDiego
06073007601,5267,06073_SD_SanDiego
06073007602,968,06073_SD_SanDiego
06073007701,343,06073_SD_SanDiego
06073007702,256,06073_SD_SanDiego
06073007800,1791,06073_SD_SanDiego
06073007905,1866,06073_SD_SanDiego
06073007907,634,06073_SD_SanDiego
06073007908,497,06073_SD_SanDiego
06073007910,2862,06073_SD_SanDiego
06073007911,1109,06073_SD_SanDiego
06073007912,429,06073_SD_SanDiego
06073008002,148,06073_SD_SanDiego
06073008003,481,06073_SD_SanDiego
06073008006,1132,06073_SD_SanDiego
06073008101,1363,06073_SD_SanDiego
06073008102,1074,06073_SD_SanDiego
06073008201,5522,06073_SD_SanDiego
06073008202,2438,06073_SD_SanDiego
06073008301,276,06073_SD_SanDiego
06073008303,1242,06073_SD_SanDiego
06073008305,33360,06073_SD_SanDiego
06073008306,252,06073_SD_SanDiego
06073008307,762,06073_SD_SanDiego
06073008310,775,06073_SD_SanDiego
06073008311,249,06073_SD_SanDiego
06073008312,8551,06073_SD_SanDiego
06073008313,476,06073_SD_SanDiego
06073008324,1385,06073_SD_SanDiego
06073008327,1237,06073_SD_SanDiego
06073008328,647,06073_SD_SanDiego
06073008330,411,06073_SD_SanDiego
06073008331,366,06073_SD_SanDiego
06073008336,46,06073_SD_SanDiego
06073008337,304,06073_SD_SanDiego
06073008339,44339,06073_SD_SanDiego
06073008343,168,06073_SD_SanDiego
