GEOID,city,median_year_built
06037101110,Los Angeles,1957
06037101122,Los Angeles,1965
06037101220,Los Angeles,1956
06037101221,Los Angeles,1981
06037101222,Los Angeles,1982
06037101300,Los Angeles,1958
06037101400,Los Angeles,1959
06037102103,Los Angeles,1960
06037102104,Los Angeles,1972
06037102105,Los Angeles,1950
06037102107,Los Angeles,1963
06037103101,Los Angeles,1957
06037103102,Los Angeles,1958
06037103201,Los Angeles,1962
06037103202,Los Angeles,1963
06037103300,Los Angeles,1962
06037103401,Los Angeles,1963
06037103402,Los Angeles,1956
06037104103,Los Angeles,1965
06037104105,Los Angeles,1982
06037104108,Los Angeles,1979
06037104124,Los Angeles,1980
06037104201,Los Angeles,1956
06037104203,Los Angeles,1968
06037104204,Los Angeles,1983
06037104310,Los Angeles,1955
06037104321,Los Angeles,1957
06037104322,Los Angeles,1955
06037104401,Los Angeles,1955
06037104403,Los Angeles,1960
06037104404,Los Angeles,1951
06037104500,Los Angeles,1947
06037104610,Los Angeles,1959
06037104620,Los Angeles,1953
06037104701,Los Angeles,1955
06037104703,Los Angeles,1975
06037104704,Los Angeles,1986
06037104821,Los Angeles,1964
06037104822,Los Angeles,1977
06037104823,Los Angeles,1958
06037104824,Los Angeles,1957
06037106010,Los Angeles,1972
06037106020,Los Angeles,1963
06037106111,Los Angeles,1974
06037106112,Los Angeles,1966
06037106113,Los Angeles,1969
06037106114,Los Angeles,1982
06037106403,Los Angeles,1956
06037106405,Los Angeles,1985
06037106406,Los Angeles,1986
06037106407,Los Angeles,1989
06037106408,Los Angeles,1981
06037106510,Los Angeles,2000
06037106520,Los Angeles,1964
06037106603,Los Angeles,1970
06037106604,Los Angeles,1976
06037106641,Los Angeles,1966
06037106642,Los Angeles,1959
06037106643,Los Angeles,1983
06037106645,Los Angeles,1965
06037106646,Los Angeles,1958
06037106648,Los Angeles,1975
06037106649,Los Angeles,1987
06037107010,Los Angeles,1958
06037107020,Los Angeles,1977
06037108101,Los Angeles,1973
06037108102,Los Angeles,1976
06037108103,Los Angeles,1977
06037108104,Los Angeles,1967
06037108202,Los Angeles,2010
06037108203,Los Angeles,1988
06037108204,Los Angeles,1999
06037109100,Los Angeles,1971
06037109200,Los Angeles,1966
06037109300,Los Angeles,1956
06037109400,Los Angeles,1959
06037109500,Los Angeles,1961
06037109601,Los Angeles,1959
06037109603,Los Angeles,1960
06037109604,Los Angeles,1958
06037109700,Los Angeles,1958
06037109800,Los Angeles,1956
06037111100,Los Angeles,1958
06037111201,Los Angeles,1957
06037111202,Los Angeles,1955
06037111204,Los Angeles,1968
06037111205,Los Angeles,1978
06037111206,Los Angeles,1960
06037111302,Los Angeles,1972
06037111303,Los Angeles,1965
06037111304,Los Angeles,1976
06037111401,Los Angeles,1963
06037111402,Los Angeles,1975
06037113101,Los Angeles,1972
06037113102,Los Angeles,1970
06037113211,Los Angeles,1977
06037113212,Los Angeles,1971
06037113213,Los Angeles,1976
06037113231,Los Angeles,1966
06037113232,Los Angeles,1969
06037113234,Los Angeles,1978
06037113235,Los Angeles,1983
06037113237,Los Angeles,1977
06037113238,Los Angeles,1974
06037113239,Los Angeles,1973
