city,code,code_type,full_name,standard_category
denver,SU,current_code_segment,Single Unit,residential
denver,TU,current_code_segment,Two Unit,residential
denver,RH,current_code_segment,Row House,residential
denver,MU,current_code_segment,Multi Unit,residential
denver,RX,current_code_segment,Residential Mixed Use,mixed-use
denver,RO,current_code_segment,Residential Office,mixed-use
denver,CC,current_code_segment,Commercial Corridor,commercial
denver,MS,current_code_segment,Main Street,mixed-use
denver,MX,current_code_segment,Mixed Use,mixed-use
denver,CCN,current_code_segment,Cherry Creek North,mixed-use
denver,I-A,current_code_flat,Industrial (Light Industrial),industrial
denver,I-B,current_code_flat,Industrial (General Industrial),industrial
denver,OS-A,current_code_flat,Open Space (Public Parks),open_space
denver,OS-B,current_code_flat,Open Space (Recreation),open_space
denver,OS-C,current_code_flat,Open Space (Conservation),open_space
denver,CMP-H,current_code_flat,Campus - Healthcare,institutional
denver,CMP-H2,current_code_flat,Campus - Healthcare (restrictive form),institutional
denver,CMP-EI,current_code_flat,Campus - Education Institution,institutional
denver,CMP-EI2,current_code_flat,Campus - Education Institution (restrictive form),institutional
denver,CMP-ENT,current_code_flat,Campus - Entertainment,other
denver,CMP-NWC,current_code_flat,Campus - National Western Center,other
denver,D-C,current_code_flat,Downtown Core,mixed-use
denver,D-TD,current_code_flat,Downtown Theater District,mixed-use
denver,D-LD,current_code_flat,Lower Downtown,mixed-use
denver,D-CV,current_code_flat,Downtown Civic,institutional
denver,D-GT,current_code_flat,Downtown Golden Triangle,mixed-use
denver,D-AS,current_code_flat,Downtown Arapahoe Square,mixed-use
denver,D-CPV-T,current_code_flat,Downtown Central Platte Valley - Auraria Transition,mixed-use
denver,D-CPV-R,current_code_flat,Downtown Central Platte Valley - Auraria River,mixed-use
denver,D-CPV-C,current_code_flat,Downtown Central Platte Valley - Auraria Center,mixed-use
denver,DIA,current_code_flat,Denver International Airport,other
denver,O-1,current_code_flat,Open Zone District,other
denver,B-1,former_ch59_flat,Limited Office District,commercial
denver,B-A-1,former_ch59_flat,Arterial Office and Multi-Unit Dwellings District,mixed-use
denver,B-2,former_ch59_flat,Neighborhood Business District,commercial
denver,B-A-2,former_ch59_flat,Arterial Service District,commercial
denver,B-3,former_ch59_flat,Shopping Center District,commercial
denver,B-A-3,former_ch59_flat,Arterial General Business District,commercial
denver,B-4,former_ch59_flat,General Business District,commercial
denver,B-A-4,former_ch59_flat,Automobile Sales and Service District,commercial
denver,B-5,former_ch59_flat,Central Business District,mixed-use
denver,B-7,former_ch59_flat,Historic Business District,mixed-use
denver,B-8,former_ch59_flat,Intensive General Business/High Density Residential District,mixed-use
denver,B-8-A,former_ch59_flat,Arapahoe Square Zone District,mixed-use
denver,B-8-G,former_ch59_flat,Golden Triangle Zone District,mixed-use
denver,H-1-A,former_ch59_flat,Hospital Zone District,institutional
denver,H-1-B,former_ch59_flat,Hospital Zone District,institutional
denver,H-2,former_ch59_flat,Hospital Zone District,institutional
denver,I-0,former_ch59_flat,Light Industrial/Office District,industrial
denver,I-1,former_ch59_flat,General Industrial District,industrial
denver,I-2,former_ch59_flat,Heavy Industrial District,industrial
denver,MS-1,former_ch59_flat,Main Street 1,mixed-use
denver,MS-2,former_ch59_flat,Main Street 2,mixed-use
